conf_join_type,use_points,type_code,use_api_count,status,use_grade,released_time,catalogStatistic,update_time,use_scores,conf_extend_field,conf_cata_magnitude,conf_datafile_sample_num,contact_name,cata_id,cata_code,creator_name,contact_email,group_id,cata_title,cataLogConfigures,contact_phone,cata_type,subject_cata_type,file_count,cata_version,cataLogGroups,conf_download_enable,cata_tags,conf_data_update_time,open_scope,region_code,audience_type,use_comments,conf_offline_time,conf_released_time,deleteColumnIds,task_count,data_count,use_task_count,conf_update_time,cataLogIndustrys,conf_contact_ispublic,link_id,standard_id,cata_logo,shared_type,org_name,conf_create_time,use_file_count,conf_use_type,conf_update_cycle,description,api_count,apply_count,conf_is_view,cata_encryption_level,conf_update_cycle_user,use_favs,conf_data_scope,shared_scope,creator,group_name,use_visit,columns,conf_datafile_type,open_type,use_data_count,cata_items,conf_datafile_generate_rule,org_code,group_type,parent_id,cata_language,conf_catalog_format,conf_status,conf_datafile_update_time
,2,,0,2,5.0,2017-09-26 09:04:51,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-26 09:03:08', None, None, None]",10,,1,0,,"['81029', '81029', None, '81029']",ml_fs_kf_zw_sjtysj_011,null,,"['sub-4', 'ind-7']",道路客运企业信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"企业,电话,企业信息,客运,状态,经度,时间,企业名称,纬度,更新时间,更新,地址,企业状态,道路",2017-09-23 14:56:47,,440600,,1,2017-09-25 19:47:49,2017-09-26 09:04:51,,0,260,0,2017-09-26 09:03:08,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81305', '81306']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2782,2,交通局,2017-06-30 15:18:34,11,"1,2,3,4,",7,"[None, None, '道路客运企业信息：包括：企业名称、地址、电话、经度、纬度、企业状态、更新时间']",0,,0,,,0,,,1,"['道路交通', '交通运输、仓储和邮政业']",948,,0,无条件开放,0,企业名称|地址|电话|经度|纬度|企业状态|更新时间,,4406003013,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
1,0,1,0,2,0.0,2017-09-13 15:38:28,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-12 09:02:03', '2017-09-12 09:00:59', None, '2017-09-12 09:00:59']",0,,3,,,"['79068', '79068', None, '79068']",FS_KF_ZW_SGSHJ_002,null,,"['sub-10', 'ind-19']",商事主体基础信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"商事,登记机关,许可经营范围,营业期限,主营项目类别,状态,统一社会信用代码,核准日期,商事主体类型,注册号,名称,法定代表人/负责人/执行事务合伙人,信息,地址,认缴注册资本,币种,备注字段,基础,成立日期,主体,经营范围,备案实收资本",2017-09-23 14:56:47,,440600,,1,2017-09-12 11:12:07,2017-09-13 15:38:28,,0,1347042,0,2017-09-12 09:02:03,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81280', '81282']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2687,2,工商局,2017-05-05 15:58:57,10,"1,2,",5,"[None, None, '商事主体基础信息，包括注册号、名称、地址、法定代表人/负责人/执行事务合伙人、主营项目类别、经营范围、认缴注册资本,币种、备案实收资本、成立日期、营业期限、商事主体类型、核准日期、登记机关、状态、许可经营范围、备注字段、统一社会信用代码登内容。']",0,,0,,,1,,,1,"['机构团体', '公共管理、社会保障和社会组织']",402,,,无条件开放,0,"注册号|名称|地址|法定代表人/负责人/执行事务合伙人|主营项目类别|经营范围|认缴注册资本,币种|备案实收资本|成立日期|营业期限|商事主体类型|核准日期|登记机关|状态|许可经营范围|备注字段|统一社会信用代码",,4406003021,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
,1,,0,2,5.0,2017-10-24 16:09:03,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:34:05', None, None, None]",5,,1,0,,"['80673', '80673', None, '80673']",fs_kf_zw_szjj_013_new,null,,"['sub-2', 'ind-13']",特种设备作业人员(市级发证)信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"地方编码,审批类型,编号,许可内容,包括,姓名,许可机关,行政,当前状态,特种设备,人,代码,截止,等,机关,地方,身份证号,行政相对人名称,编码,名称,信息,称,许可截止日期,市级,作业,审批,内容,行政相对人代码,项目,相对,决定,项目名称,法人,许可决定日期,更新时间,发证,人名,日期,类型,许可,行政许可证编号,法人姓名,许可证,人员",2017-10-09 09:34:05,,440600,,1,2017-10-24 15:58:12,2017-10-24 16:09:03,,0,105711,0,2017-10-09 09:34:05,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81426', '81427']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2777,2,质监局,2017-06-30 09:27:00,19,"1,2,3,",7,"[None, None, '特种设备作业人员(市级发证)，包括：行政许可证编号、项目名称、审批类型、许可内容、身份证号、行政相对人名称、行政相对人代码、法人姓名、许可决定日期、许可截止日期、地方编码、许可机关等信息']",0,,0,,,1,,,1,"['经济建设', '科学研究和技术服务业']",819,,0,无条件开放,0,行政许可证编号|项目名称|审批类型|许可内容|身份证号|行政相对人名称|行政相对人代码|法人姓名|许可决定日期|许可截止日期|地方编码|许可机关|当前状态|更新时间,,4406003041,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:00
,1,,0,2,4.0,2017-10-09 09:19:34,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:18:53', None, None, None]",4,,1,0,,"['80799', '80799', None, '80799']",ml_fs_kf_zw_swgxj_006,null,,"['sub-11', 'ind-18']",文化设施名录,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"设施,文化,纬度,电话,包括,类别,更新时间,更新,名称,地址,经度,时间,名录,设施名称",2017-10-09 09:18:53,,440600,,10,2017-10-09 09:12:27,2017-10-09 09:19:34,,0,94,0,2017-10-09 09:18:53,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81364', '81365']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2778,2,文广新局,2017-06-30 10:03:00,8,"1,2,3,4,",7,"[None, None, '文化设施名录，包括：设施名称、地址、电话、类别、经度、纬度、更新时间']",0,,1,,,0,,,1,"['城市建设', '文化、体育和娱乐业']",809,,0,无条件开放,0,设施名称|地址|电话|类别|经度|纬度|更新时间,,4406003017,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:04
,0,,0,2,0.0,2017-09-29 20:33:54,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-29 20:33:15', None, None, None]",0,,1,0,,"['80827', '80827', None, '80827']",ml_fs_kf_zw_swgxj_009,null,,"['sub-10', 'ind-18']",机构荣誉信息,,,10,,3,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"代码,时间,荣誉,表彰文号,单位,机构名称,更新,信息,工商,表彰,文号,工商注册号,授予日期,授予单位,荣誉称号,注册,法定代表,授予,机构代码,更新时间,日期,法定代表人,机构",2017-09-23 14:56:47,,440600,,0,2017-09-29 20:32:46,2017-09-29 20:33:54,,0,5,0,2017-09-29 20:33:15,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81339', '81340']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2779,2,文广新局,2017-06-30 10:30:00,0,"1,2,3,",7,"[None, None, '机构荣誉信息，包括：机构名称、机构代码、工商注册号、法定代表人、荣誉称号、授予单位、授予日期、表彰文号、更新时间']",0,,0,,,0,,,1,"['机构团体', '文化、体育和娱乐业']",847,,0,无条件开放,0,机构名称|机构代码|工商注册号|法定代表人|荣誉称号|授予单位|授予日期|表彰文号|更新时间,,4406003017,"['10', '20']",,,"1,2,3,",4,2017-10-10 15:00:04
,0,,0,2,0.0,2017-09-29 20:31:17,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-29 20:30:10', None, None, None]",0,,1,0,,"['80866', '80866', None, '80866']",ml_fs_kf_zw_swgxj_011,null,,"['sub-7', 'ind-18']",个人荣誉信息,,,10,,3,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"姓名,授予日期,授予单位,荣誉称号,时间,荣誉,表彰文号,授予,单位,个人,更新时间,更新,信息,日期,表彰,文号",2017-09-23 14:56:47,,440600,,0,2017-09-29 20:29:23,2017-09-29 20:31:17,,0,11,0,2017-09-29 20:30:10,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81321', '81322']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2780,2,文广新局,2017-06-30 14:01:33,0,"1,2,3,",7,"[None, None, '个人荣誉信息，包括：姓名、荣誉称号、授予单位、授予日期、表彰文号、更新时间']",0,,0,,,1,,,1,"['文化休闲', '文化、体育和娱乐业']",869,,0,无条件开放,0,姓名|荣誉称号|授予单位|授予日期|表彰文号|更新时间,,4406003017,"['10', '20']",,,"1,2,3",4,2017-10-10 15:00:05
,2,,0,2,5.0,2017-09-26 09:04:51,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-26 09:03:08', None, None, None]",10,,1,0,,"['81029', '81029', None, '81029']",ml_fs_kf_zw_sjtysj_011,null,,"['sub-4', 'ind-7']",道路客运企业信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"企业,电话,企业信息,客运,状态,经度,时间,企业名称,纬度,更新时间,更新,地址,企业状态,道路",2017-09-23 14:56:47,,440600,,1,2017-09-25 19:47:49,2017-09-26 09:04:51,,0,260,0,2017-09-26 09:03:08,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81305', '81306']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2782,2,交通局,2017-06-30 15:18:34,11,"1,2,3,4,",7,"[None, None, '道路客运企业信息：包括：企业名称、地址、电话、经度、纬度、企业状态、更新时间']",0,,0,,,0,,,1,"['道路交通', '交通运输、仓储和邮政业']",948,,0,无条件开放,0,企业名称|地址|电话|经度|纬度|企业状态|更新时间,,4406003013,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
1,0,1,0,2,0.0,2017-09-13 15:38:28,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-12 09:02:03', '2017-09-12 09:00:59', None, '2017-09-12 09:00:59']",0,,3,,,"['79068', '79068', None, '79068']",FS_KF_ZW_SGSHJ_002,null,,"['sub-10', 'ind-19']",商事主体基础信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"商事,登记机关,许可经营范围,营业期限,主营项目类别,状态,统一社会信用代码,核准日期,商事主体类型,注册号,名称,法定代表人/负责人/执行事务合伙人,信息,地址,认缴注册资本,币种,备注字段,基础,成立日期,主体,经营范围,备案实收资本",2017-09-23 14:56:47,,440600,,1,2017-09-12 11:12:07,2017-09-13 15:38:28,,0,1347042,0,2017-09-12 09:02:03,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81280', '81282']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2687,2,工商局,2017-05-05 15:58:57,10,"1,2,",5,"[None, None, '商事主体基础信息，包括注册号、名称、地址、法定代表人/负责人/执行事务合伙人、主营项目类别、经营范围、认缴注册资本,币种、备案实收资本、成立日期、营业期限、商事主体类型、核准日期、登记机关、状态、许可经营范围、备注字段、统一社会信用代码登内容。']",0,,0,,,1,,,1,"['机构团体', '公共管理、社会保障和社会组织']",402,,,无条件开放,0,"注册号|名称|地址|法定代表人/负责人/执行事务合伙人|主营项目类别|经营范围|认缴注册资本,币种|备案实收资本|成立日期|营业期限|商事主体类型|核准日期|登记机关|状态|许可经营范围|备注字段|统一社会信用代码",,4406003021,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
,1,,0,2,5.0,2017-10-24 16:09:03,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:34:05', None, None, None]",5,,1,0,,"['80673', '80673', None, '80673']",fs_kf_zw_szjj_013_new,null,,"['sub-2', 'ind-13']",特种设备作业人员(市级发证)信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"地方编码,审批类型,编号,许可内容,包括,姓名,许可机关,行政,当前状态,特种设备,人,代码,截止,等,机关,地方,身份证号,行政相对人名称,编码,名称,信息,称,许可截止日期,市级,作业,审批,内容,行政相对人代码,项目,相对,决定,项目名称,法人,许可决定日期,更新时间,发证,人名,日期,类型,许可,行政许可证编号,法人姓名,许可证,人员",2017-10-09 09:34:05,,440600,,1,2017-10-24 15:58:12,2017-10-24 16:09:03,,0,105711,0,2017-10-09 09:34:05,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81426', '81427']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2777,2,质监局,2017-06-30 09:27:00,19,"1,2,3,",7,"[None, None, '特种设备作业人员(市级发证)，包括：行政许可证编号、项目名称、审批类型、许可内容、身份证号、行政相对人名称、行政相对人代码、法人姓名、许可决定日期、许可截止日期、地方编码、许可机关等信息']",0,,0,,,1,,,1,"['经济建设', '科学研究和技术服务业']",819,,0,无条件开放,0,行政许可证编号|项目名称|审批类型|许可内容|身份证号|行政相对人名称|行政相对人代码|法人姓名|许可决定日期|许可截止日期|地方编码|许可机关|当前状态|更新时间,,4406003041,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:00
,1,,0,2,4.0,2017-10-09 09:19:34,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:18:53', None, None, None]",4,,1,0,,"['80799', '80799', None, '80799']",ml_fs_kf_zw_swgxj_006,null,,"['sub-11', 'ind-18']",文化设施名录,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"设施,文化,纬度,电话,包括,类别,更新时间,更新,名称,地址,经度,时间,名录,设施名称",2017-10-09 09:18:53,,440600,,10,2017-10-09 09:12:27,2017-10-09 09:19:34,,0,94,0,2017-10-09 09:18:53,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81364', '81365']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2778,2,文广新局,2017-06-30 10:03:00,8,"1,2,3,4,",7,"[None, None, '文化设施名录，包括：设施名称、地址、电话、类别、经度、纬度、更新时间']",0,,1,,,0,,,1,"['城市建设', '文化、体育和娱乐业']",809,,0,无条件开放,0,设施名称|地址|电话|类别|经度|纬度|更新时间,,4406003017,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:04
,0,,0,2,0.0,2017-09-29 20:33:54,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-29 20:33:15', None, None, None]",0,,1,0,,"['80827', '80827', None, '80827']",ml_fs_kf_zw_swgxj_009,null,,"['sub-10', 'ind-18']",机构荣誉信息,,,10,,3,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"代码,时间,荣誉,表彰文号,单位,机构名称,更新,信息,工商,表彰,文号,工商注册号,授予日期,授予单位,荣誉称号,注册,法定代表,授予,机构代码,更新时间,日期,法定代表人,机构",2017-09-23 14:56:47,,440600,,0,2017-09-29 20:32:46,2017-09-29 20:33:54,,0,5,0,2017-09-29 20:33:15,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81339', '81340']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2779,2,文广新局,2017-06-30 10:30:00,0,"1,2,3,",7,"[None, None, '机构荣誉信息，包括：机构名称、机构代码、工商注册号、法定代表人、荣誉称号、授予单位、授予日期、表彰文号、更新时间']",0,,0,,,0,,,1,"['机构团体', '文化、体育和娱乐业']",847,,0,无条件开放,0,机构名称|机构代码|工商注册号|法定代表人|荣誉称号|授予单位|授予日期|表彰文号|更新时间,,4406003017,"['10', '20']",,,"1,2,3,",4,2017-10-10 15:00:04
,0,,0,2,0.0,2017-09-29 20:31:17,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-29 20:30:10', None, None, None]",0,,1,0,,"['80866', '80866', None, '80866']",ml_fs_kf_zw_swgxj_011,null,,"['sub-7', 'ind-18']",个人荣誉信息,,,10,,3,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"姓名,授予日期,授予单位,荣誉称号,时间,荣誉,表彰文号,授予,单位,个人,更新时间,更新,信息,日期,表彰,文号",2017-09-23 14:56:47,,440600,,0,2017-09-29 20:29:23,2017-09-29 20:31:17,,0,11,0,2017-09-29 20:30:10,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81321', '81322']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2780,2,文广新局,2017-06-30 14:01:33,0,"1,2,3,",7,"[None, None, '个人荣誉信息，包括：姓名、荣誉称号、授予单位、授予日期、表彰文号、更新时间']",0,,0,,,1,,,1,"['文化休闲', '文化、体育和娱乐业']",869,,0,无条件开放,0,姓名|荣誉称号|授予单位|授予日期|表彰文号|更新时间,,4406003017,"['10', '20']",,,"1,2,3",4,2017-10-10 15:00:05
,2,,0,2,5.0,2017-09-26 09:04:51,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-26 09:03:08', None, None, None]",10,,1,0,,"['81029', '81029', None, '81029']",ml_fs_kf_zw_sjtysj_011,null,,"['sub-4', 'ind-7']",道路客运企业信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"企业,电话,企业信息,客运,状态,经度,时间,企业名称,纬度,更新时间,更新,地址,企业状态,道路",2017-09-23 14:56:47,,440600,,1,2017-09-25 19:47:49,2017-09-26 09:04:51,,0,260,0,2017-09-26 09:03:08,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81305', '81306']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2782,2,交通局,2017-06-30 15:18:34,11,"1,2,3,4,",7,"[None, None, '道路客运企业信息：包括：企业名称、地址、电话、经度、纬度、企业状态、更新时间']",0,,0,,,0,,,1,"['道路交通', '交通运输、仓储和邮政业']",948,,0,无条件开放,0,企业名称|地址|电话|经度|纬度|企业状态|更新时间,,4406003013,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
1,0,1,0,2,0.0,2017-09-13 15:38:28,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-09-12 09:02:03', '2017-09-12 09:00:59', None, '2017-09-12 09:00:59']",0,,3,,,"['79068', '79068', None, '79068']",FS_KF_ZW_SGSHJ_002,null,,"['sub-10', 'ind-19']",商事主体基础信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"商事,登记机关,许可经营范围,营业期限,主营项目类别,状态,统一社会信用代码,核准日期,商事主体类型,注册号,名称,法定代表人/负责人/执行事务合伙人,信息,地址,认缴注册资本,币种,备注字段,基础,成立日期,主体,经营范围,备案实收资本",2017-09-23 14:56:47,,440600,,1,2017-09-12 11:12:07,2017-09-13 15:38:28,,0,1347042,0,2017-09-12 09:02:03,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81280', '81282']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2687,2,工商局,2017-05-05 15:58:57,10,"1,2,",5,"[None, None, '商事主体基础信息，包括注册号、名称、地址、法定代表人/负责人/执行事务合伙人、主营项目类别、经营范围、认缴注册资本,币种、备案实收资本、成立日期、营业期限、商事主体类型、核准日期、登记机关、状态、许可经营范围、备注字段、统一社会信用代码登内容。']",0,,0,,,1,,,1,"['机构团体', '公共管理、社会保障和社会组织']",402,,,无条件开放,0,"注册号|名称|地址|法定代表人/负责人/执行事务合伙人|主营项目类别|经营范围|认缴注册资本,币种|备案实收资本|成立日期|营业期限|商事主体类型|核准日期|登记机关|状态|许可经营范围|备注字段|统一社会信用代码",,4406003021,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:05
,1,,0,2,5.0,2017-10-24 16:09:03,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:34:05', None, None, None]",5,,1,0,,"['80673', '80673', None, '80673']",fs_kf_zw_szjj_013_new,null,,"['sub-2', 'ind-13']",特种设备作业人员(市级发证)信息,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"地方编码,审批类型,编号,许可内容,包括,姓名,许可机关,行政,当前状态,特种设备,人,代码,截止,等,机关,地方,身份证号,行政相对人名称,编码,名称,信息,称,许可截止日期,市级,作业,审批,内容,行政相对人代码,项目,相对,决定,项目名称,法人,许可决定日期,更新时间,发证,人名,日期,类型,许可,行政许可证编号,法人姓名,许可证,人员",2017-10-09 09:34:05,,440600,,1,2017-10-24 15:58:12,2017-10-24 16:09:03,,0,105711,0,2017-10-09 09:34:05,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81426', '81427']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2777,2,质监局,2017-06-30 09:27:00,19,"1,2,3,",7,"[None, None, '特种设备作业人员(市级发证)，包括：行政许可证编号、项目名称、审批类型、许可内容、身份证号、行政相对人名称、行政相对人代码、法人姓名、许可决定日期、许可截止日期、地方编码、许可机关等信息']",0,,0,,,1,,,1,"['经济建设', '科学研究和技术服务业']",819,,0,无条件开放,0,行政许可证编号|项目名称|审批类型|许可内容|身份证号|行政相对人名称|行政相对人代码|法人姓名|许可决定日期|许可截止日期|地方编码|许可机关|当前状态|更新时间,,4406003041,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:00
,1,,0,2,4.0,2017-10-09 09:19:34,"['子属性：', 'use_favs', 'apply_count', 'use_points', 'data_count', 'use_task_count', 'use_api_count', 'update_time', 'task_count', 'use_data_count', 'file_count', 'use_grade', 'api_count', 'use_visit', 'use_file_count', 'audience_type', 'use_scores', 'use_comments', 'cata_id']","['2017-10-09 09:18:53', None, None, None]",4,,1,0,,"['80799', '80799', None, '80799']",ml_fs_kf_zw_swgxj_006,null,,"['sub-11', 'ind-18']",文化设施名录,,,10,,4,,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",0,"设施,文化,纬度,电话,包括,类别,更新时间,更新,名称,地址,经度,时间,名录,设施名称",2017-10-09 09:18:53,,440600,,10,2017-10-09 09:12:27,2017-10-09 09:19:34,,0,94,0,2017-10-09 09:18:53,"['子属性：', 'group_name', 'group_id', 'update_time', 'description', 'link_id', 'group_type', 'cata_id']",,"['81364', '81365']",,http://www.fsdata.gov.cn/rcservice/doc?doc_id=2778,2,文广新局,2017-06-30 10:03:00,8,"1,2,3,4,",7,"[None, None, '文化设施名录，包括：设施名称、地址、电话、类别、经度、纬度、更新时间']",0,,1,,,0,,,1,"['城市建设', '文化、体育和娱乐业']",809,,0,无条件开放,0,设施名称|地址|电话|类别|经度|纬度|更新时间,,4406003017,"['10', '20']",,,"1,2,3,4,",4,2017-10-10 15:00:04
